16:25:18 [src.strategy.status] [VERO] $2.36 (-0.8%) | SL=$2.26 TP=$2.62
16:25:18 [src.strategy.status] [VCIG] $0.66 (-1.5%) | SL=$0.63 TP=$0.74
16:25:18 [src.strategy.status] [VCIG] $0.66 (-1.5%) | SL=$0.63 TP=$0.74
16:25:18 [src.strategy.status] [VCIG] $0.65 (-2.5%) | SL=$0.63 TP=$0.74
16:25:19 [src.strategy.status] [VCIG] $0.65 (-3.0%) | SL=$0.63 TP=$0.74
16:25:19 [src.strategy.status] [VCIG] $0.65 (-3.0%) | SL=$0.63 TP=$0.74
16:25:19 [src.strategy.status] [VCIG] $0.65 (-3.0%) | SL=$0.63 TP=$0.74
16:25:23 [src.strategy.status] [VCIG] $0.65 (-3.0%) | SL=$0.63 TP=$0.74
16:25:23 [src.strategy.status] [VCIG] $0.66 (-1.5%) | SL=$0.63 TP=$0.74
16:25:23 [src.strategy.status] [VERO] $2.36 (-0.8%) | SL=$2.26 TP=$2.62
16:25:23 [src.strategy.status] [VERO] $2.37 (-0.4%) | SL=$2.26 TP=$2.62
16:25:24 [src.strategy.status] [VERO] $2.37 (-0.4%) | SL=$2.26 TP=$2.62
16:25:28 [src.strategy.status] [VCIG] $0.66 (-1.5%) | SL=$0.63 TP=$0.74
16:25:28 [src.strategy.status] [VCIG] $0.66 (-1.5%) | SL=$0.63 TP=$0.74
16:25:29 [src.strategy.status] [VCIG] $0.66 (-1.5%) | SL=$0.63 TP=$0.74
16:25:32 [src.strategy.status] [VCIG] $0.66 (-1.5%) | SL=$0.63 TP=$0.74
16:25:32 [src.strategy.status] [VCIG] $0.66 (-1.5%) | SL=$0.63 TP=$0.74
16:25:33 [src.strategy.status] [VERO] $2.37 (-0.4%) | SL=$2.26 TP=$2.62
16:25:33 [src.strategy.status] [VERO] $2.38 (+0.0%) | SL=$2.26 TP=$2.62
16:25:35 [src.strategy.status] [VERO] $2.38 (+0.0%) | SL=$2.26 TP=$2.62
16:25:35 [src.strategy.status] [VERO] $2.38 (+0.0%) | SL=$2.26 TP=$2.62
16:25:36 [src.strategy.status] [VERO] $2.38 (+0.0%) | SL=$2.26 TP=$2.62
16:25:42 [src.strategy.status] [VCIG] $0.66 (-1.5%) | SL=$0.63 TP=$0.74
16:25:42 [src.strategy.status] [VCIG] $0.66 (-1.5%) | SL=$0.63 TP=$0.74
16:25:43 [src.strategy.status] [VCIG] $0.65 (-3.0%) | SL=$0.63 TP=$0.74
16:25:46 [src.strategy.status] [VCIG] $0.65 (-3.0%) | SL=$0.63 TP=$0.74
16:25:46 [src.strategy.status] [VCIG] $0.65 (-3.0%) | SL=$0.63 TP=$0.74
16:25:48 [src.strategy.status] [VCIG] $0.65 (-3.0%) | SL=$0.63 TP=$0.74
16:25:49 [src.strategy.status] [VCIG] $0.65 (-3.0%) | SL=$0.63 TP=$0.74
16:25:49 [src.strategy.status] [VCIG] $0.65 (-3.0%) | SL=$0.63 TP=$0.74
16:25:51 [src.strategy.status] [VERO] $2.38 (+0.0%) | SL=$2.26 TP=$2.62
16:25:51 [src.strategy.status] [VERO] $2.39 (+0.4%) | SL=$2.26 TP=$2.62
16:25:52 [src.strategy.status] [VERO] $2.39 (+0.4%) | SL=$2.26 TP=$2.62
16:25:52 [src.strategy.status] [VERO] $2.39 (+0.4%) | SL=$2.26 TP=$2.62
16:25:53 [src.strategy.status] [VERO] $2.40 (+0.8%) | SL=$2.26 TP=$2.62
16:25:53 [src.strategy.status] [VERO] $2.40 (+0.8%) | SL=$2.26 TP=$2.62
16:25:53 [src.strategy.status] [VERO] $2.40 (+0.8%) | SL=$2.26 TP=$2.62
16:25:54 [src.strategy.status] [VERO] $2.40 (+0.8%) | SL=$2.26 TP=$2.62
16:25:54 [src.strategy.status] [VERO] $2.40 (+0.8%) | SL=$2.26 TP=$2.62
16:25:54 [src.strategy.status] [VERO] $2.40 (+0.8%) | SL=$2.26 TP=$2.62
16:25:55 [src.strategy.status] [VERO] $2.42 (+1.7%) | SL=$2.26 TP=$2.62
16:25:58 [src.strategy.status] [VERO] $2.42 (+1.7%) | SL=$2.26 TP=$2.62
16:25:58 [src.strategy.status] [VERO] $2.42 (+1.7%) | SL=$2.26 TP=$2.62
16:26:03 [src.strategy.status] [VCIG] $0.65 (-3.0%) | SL=$0.63 TP=$0.74
16:26:03 [src.strategy.status] [VCIG] $0.65 (-2.9%) | SL=$0.63 TP=$0.74
16:26:05 [src.strategy.status] [VERO] $2.42 (+1.7%) | SL=$2.26 TP=$2.62
16:26:05 [src.strategy.status] [VERO] $2.43 (+2.1%) | SL=$2.26 TP=$2.62
16:26:06 [src.strategy.status] [VERO] $2.43 (+2.1%) | SL=$2.26 TP=$2.62
16:26:10 [src.strategy.status] [VERO] $2.43 (+2.1%) | SL=$2.26 TP=$2.62
16:26:10 [src.strategy.status] [VERO] $2.43 (+2.1%) | SL=$2.26 TP=$2.62
16:26:11 [src.strategy.status] [VERO] $2.43 (+2.1%) | SL=$2.26 TP=$2.62
16:26:11 [src.strategy.status] [VERO] $2.43 (+2.1%) | SL=$2.26 TP=$2.62
16:26:11 [src.strategy.status] [VERO] $2.43 (+2.1%) | SL=$2.26 TP=$2.62
16:26:18 [src.strategy.status] [VCIG] $0.65 (-2.9%) | SL=$0.63 TP=$0.74
16:26:18 [src.strategy.status] [VCIG] $0.66 (-2.2%) | SL=$0.63 TP=$0.74
16:26:19 [src.strategy.status] [VERO] $2.43 (+2.1%) | SL=$2.26 TP=$2.62
16:26:19 [src.strategy.status] [VERO] $2.43 (+2.1%) | SL=$2.26 TP=$2.62
16:26:20 [src.strategy.status] [VERO] $2.43 (+2.1%) | SL=$2.26 TP=$2.62
16:26:20 [src.strategy.status] [VERO] $2.43 (+2.1%) | SL=$2.26 TP=$2.62
16:26:22 [src.strategy.status] [VERO] $2.43 (+2.1%) | SL=$2.26 TP=$2.62
16:26:22 [src.strategy.status] [VERO] $2.43 (+2.1%) | SL=$2.26 TP=$2.62
16:26:23 [src.strategy.status] [VERO] $2.43 (+2.1%) | SL=$2.26 TP=$2.62
16:26:26 [src.strategy.status] [VCIG] $0.66 (-2.2%) | SL=$0.63 TP=$0.74
16:26:26 [src.strategy.status] [VCIG] $0.66 (-1.7%) | SL=$0.63 TP=$0.74
16:26:27 [src.strategy.status] [VCIG] $0.67 (-0.7%) | SL=$0.63 TP=$0.74
16:26:28 [src.strategy.status] [VERO] $2.43 (+2.1%) | SL=$2.26 TP=$2.62
16:26:28 [src.strategy.status] [VERO] $2.42 (+1.7%) | SL=$2.26 TP=$2.62
16:26:29 [src.strategy.status] [VCIG] $0.67 (-0.7%) | SL=$0.63 TP=$0.74
16:26:29 [src.strategy.status] [VCIG] $0.66 (-2.0%) | SL=$0.63 TP=$0.74
16:26:30 [src.strategy.status] [VERO] $2.42 (+1.7%) | SL=$2.26 TP=$2.62
16:26:30 [src.strategy.status] [VERO] $2.42 (+1.7%) | SL=$2.26 TP=$2.62
16:26:35 [src.strategy.status] [VERO] $2.42 (+1.7%) | SL=$2.26 TP=$2.62
16:26:35 [src.strategy.status] [VERO] $2.40 (+0.8%) | SL=$2.26 TP=$2.62
16:26:37 [src.strategy.status] [VCIG] $0.66 (-2.0%) | SL=$0.63 TP=$0.74
16:26:37 [src.strategy.status] [VCIG] $0.67 (-0.6%) | SL=$0.63 TP=$0.74
16:26:37 [src.strategy.status] [VCIG] $0.67 (-0.6%) | SL=$0.63 TP=$0.74
16:26:37 [src.strategy.status] [VCIG] $0.67 (-0.6%) | SL=$0.63 TP=$0.74
16:26:38 [src.strategy.status] [VCIG] $0.67 (-0.6%) | SL=$0.63 TP=$0.74
16:26:38 [src.strategy.status] [VCIG] $0.67 (-0.6%) | SL=$0.63 TP=$0.74
16:26:40 [src.strategy.status] [VCIG] $0.67 (-0.6%) | SL=$0.63 TP=$0.74
16:26:40 [src.strategy.status] [VERO] $2.40 (+0.8%) | SL=$2.26 TP=$2.62
16:26:41 [src.strategy.status] [VERO] $2.40 (+0.8%) | SL=$2.26 TP=$2.62
16:26:41 [src.strategy.status] [VERO] $2.39 (+0.4%) | SL=$2.26 TP=$2.62
16:26:46 [src.strategy.status] [VCIG] $0.67 (-0.6%) | SL=$0.63 TP=$0.74
16:26:46 [src.strategy.status] [VCIG] $0.67 (-0.0%) | SL=$0.63 TP=$0.74
16:26:50 [src.strategy.status] [VERO] $2.39 (+0.4%) | SL=$2.26 TP=$2.62
16:26:50 [src.strategy.status] [VERO] $2.38 (+0.0%) | SL=$2.26 TP=$2.62
16:26:50 [src.strategy.status] [VERO] $2.38 (+0.0%) | SL=$2.26 TP=$2.62
16:26:51 [src.strategy.status] [VERO] $2.38 (+0.0%) | SL=$2.26 TP=$2.62
16:26:51 [src.strategy.status] [VCIG] $0.67 (-0.0%) | SL=$0.63 TP=$0.74
16:26:51 [src.strategy.status] [VCIG] $0.67 (+0.0%) | SL=$0.63 TP=$0.74
16:26:52 [src.strategy.status] [VERO] $2.38 (+0.0%) | SL=$2.26 TP=$2.62
16:26:52 [src.strategy.status] [VERO] $2.38 (+0.0%) | SL=$2.26 TP=$2.62
16:26:52 [src.strategy.status] [VCIG] $0.67 (+0.0%) | SL=$0.63 TP=$0.74
16:26:53 [src.strategy.status] [VERO] $2.38 (+0.0%) | SL=$2.26 TP=$2.62
16:26:53 [src.strategy.status] [VERO] $2.37 (-0.4%) | SL=$2.26 TP=$2.62
16:26:58 [src.strategy.status] [VERO] $2.37 (-0.4%) | SL=$2.26 TP=$2.62
16:26:58 [src.strategy.status] [VERO] $2.38 (+0.0%) | SL=$2.26 TP=$2.62
16:26:59 [src.strategy.status] [VCIG] $0.67 (+0.0%) | SL=$0.63 TP=$0.74
16:26:59 [src.strategy.status] [VCIG] $0.67 (+0.0%) | SL=$0.63 TP=$0.74
16:27:00 [src.strategy.status] [VERO] $2.38 (+0.0%) | SL=$2.26 TP=$2.62
16:27:00 [src.strategy.status] [VERO] $2.38 (+0.0%) | SL=$2.26 TP=$2.62
16:27:00 [src.strategy.status] [VERO] $2.38 (+0.0%) | SL=$2.26 TP=$2.62
16:27:01 [src.strategy.status] [VERO] $2.38 (+0.1%) | SL=$2.26 TP=$2.62
16:27:03 [src.strategy.status] [VERO] $2.38 (+0.1%) | SL=$2.26 TP=$2.62
16:27:03 [src.strategy.status] [VERO] $2.39 (+0.4%) | SL=$2.26 TP=$2.62
16:27:04 [src.strategy.status] [VERO] $2.39 (+0.4%) | SL=$2.26 TP=$2.62
16:27:04 [src.strategy.status] [VERO] $2.39 (+0.4%) | SL=$2.26 TP=$2.62
16:27:04 [src.strategy.status] [VERO] $2.40 (+0.8%) | SL=$2.26 TP=$2.62
16:27:05 [src.strategy.status] [VCIG] $0.67 (+0.0%) | SL=$0.63 TP=$0.74
16:27:05 [src.strategy.status] [VCIG] $0.67 (+0.0%) | SL=$0.63 TP=$0.74
16:27:06 [src.strategy.status] [VERO] $2.39 (+0.4%) | SL=$2.26 TP=$2.62
16:27:06 [src.strategy.status] [VCIG] $0.67 (-0.6%) | SL=$0.63 TP=$0.74
16:27:09 [src.strategy.status] [VCIG] $0.67 (-0.6%) | SL=$0.63 TP=$0.74
16:27:09 [src.strategy.status] [VCIG] $0.67 (-0.6%) | SL=$0.63 TP=$0.74
16:27:10 [src.strategy.status] [VCIG] $0.67 (-0.1%) | SL=$0.63 TP=$0.74
